,city,lat,long,max temp,humidity,cloudiness,wind speed,country,date
280,São Filipe,14.8961,-24.4956,75.34,72,35,4.0,CV,1609974812
281,Rawson,-43.3002,-65.1023,73.76,41,0,25.77,AR,1609974812
282,Twentynine Palms,34.1356,-116.0542,64.99,16,1,6.93,US,1609974812
283,Phuthaditjhaba,-28.5242,28.8158,58.14,88,89,5.26,ZA,1609974812
284,Okha,53.5739,142.9478,-17.77,87,93,13.44,RU,1609974813
285,Atambua,-9.1061,124.8925,77.2,82,100,3.47,ID,1609974813
286,Flinders,-34.5833,150.8552,73.0,100,75,11.41,AU,1609974813
287,Tuatapere,-46.1333,167.6833,63.0,91,100,5.99,NZ,1609974813
288,Turukhansk,65.8167,87.9833,-20.52,87,100,11.21,RU,1609974813
289,Fort Nelson,58.8053,-122.7002,-0.4,77,75,4.7,CA,1609974813
290,Portobelo,9.55,-79.65,82.0,74,29,8.01,PA,1609974813
291,Sangar,63.9242,127.4739,-44.93,77,100,8.28,RU,1609974813
292,Sistranda,63.7256,8.834,24.8,79,0,17.22,NO,1609974813
293,College,64.8569,-147.8028,9.0,76,75,2.28,US,1609974813
294,Dingle,10.9995,122.6711,75.42,92,63,7.99,PH,1609974813
295,Martinsville,36.6915,-79.8725,39.2,64,1,6.93,US,1609974813
296,Dwārka,22.2394,68.9678,66.85,57,1,16.08,IN,1609974813
297,Nhulunbuy,-12.2333,136.7667,82.4,83,98,5.82,AU,1609974813
298,Cidreira,-30.1811,-50.2056,73.8,86,46,11.72,BR,1609974813
299,Talcahuano,-36.7167,-73.1167,69.8,56,0,16.11,CL,1609974813
300,Kaili,-3.4626,120.2147,69.46,87,97,2.28,ID,1609974814
301,Lompoc,34.6391,-120.4579,61.0,59,1,14.99,US,1609974814
302,Atar,20.5169,-13.0499,72.1,34,98,2.01,MR,1609974814
303,Poum,-20.2333,164.0167,82.76,80,30,14.29,NC,1609974814
304,Portland,45.5234,-122.6762,48.99,87,90,1.34,US,1609974061
305,Saurimo,-9.6608,20.3916,65.34,95,100,3.8,AO,1609974814
306,Solwezi,-12.1688,26.3894,62.92,97,100,1.61,ZM,1609974814
307,Vieques,18.425,-65.8329,77.0,78,20,8.05,PR,1609974814
308,Guarujá,-23.9931,-46.2564,80.01,26,100,3.69,BR,1609974572
309,Esim,4.8699,-2.2405,79.38,84,100,11.25,GH,1609974814
310,Hambantota,6.1241,81.1185,76.53,83,72,5.68,LK,1609974814
311,Lorengau,-2.0226,147.2712,84.06,72,100,5.75,PG,1609974814
312,Burnie,-41.0667,145.9167,63.0,73,70,4.0,AU,1609974814
313,Soyo,-6.1349,12.3689,78.64,86,100,6.8,AO,1609974814
314,Ust'-Ordynskiy,52.805,104.7508,-5.8,76,40,6.71,RU,1609974814
315,Wuchi,29.3786,103.023,23.22,97,100,3.15,CN,1609974814
316,Mana,5.6592,-53.7767,77.83,89,100,8.72,GF,1609974814
317,Lianzhou,24.7811,112.3825,43.97,75,100,6.38,CN,1609974814
